file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [07-Jul-2025 03:33:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/xhtml5-support/xhtml5-support.php on line 47
[07-Jul-2025 03:36:59 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jul-2025 03:37:06 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>xml-for-avito</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jul-2025 03:37:11 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>xml-for-avito</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jul-2025 03:37:15 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>xml-for-avito</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jul-2025 03:37:16 UTC] PHP Fatal error:  Uncaught Error: Class 'WpOrg\Requests\Exception' not found in /wordpress/wp-includes/Requests/src/Transport/Curl.php:490
Stack trace:
#0 /wordpress/wp-includes/Requests/src/Transport/Curl.php(219): WpOrg\Requests\Transport\Curl->process_response('', Array)
#1 /wordpress/wp-includes/Requests/src/Requests.php(469): WpOrg\Requests\Transport\Curl->request('http://127.0.0....', Array, '', Array)
#2 /wordpress/wp-includes/class-wp-http.php(415): WpOrg\Requests\Requests::request('http://127.0.0....', Array, NULL, 'GET', Array)
#3 /wordpress/wp-includes/class-wp-http.php(656): WP_Http->request('http://127.0.0....', Array)
#4 /wordpress/wp-includes/http.php(177): WP_Http->get('http://127.0.0....', Array)
#5 /wordpress/wp-content/plugins/xml-for-avito/functions.php(319): wp_remote_get('http://127.0.0....')
#6 /wordpress/wp-content/plugins/xml-for-avito/classes/system/class-xfavi.php(312): forced_cron()
#7 /wordpress/wp-includes/class-wp-hook.php(324): XmlforAvito->check_forced_cron('')
#8 /wordpress/wp-includes/class-w in /wordpress/wp-includes/Requests/src/Transport/Curl.php on line 490
[07-Jul-2025 03:37:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[07-Jul-2025 03:37:57 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>xml-for-avito</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
