file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [06-Jul-2025 05:29:24 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/post-half-life/post-half-life.php on line 16
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 141
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 146
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 151
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 156
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 161
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 166
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 171
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 176
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 181
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 186
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 191
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 199
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 211
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 218
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 223
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 228
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 233
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 238
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 243
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 248
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 253
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 258
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 263
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 270
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 275
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 280
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 285
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 290
[06-Jul-2025 05:31:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 295
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 23
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 25
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 27
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 29
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 31
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 36
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 52
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 58
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 68
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 74
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 81
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 89
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 106
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 111
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 116
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 121
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 126
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 131
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 136
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 141
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 146
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 151
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 156
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 161
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 166
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 171
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 176
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 181
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 186
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 191
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 199
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 211
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 218
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 223
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 228
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 233
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 238
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 243
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 248
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 253
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 258
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 263
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 270
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 275
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 280
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 285
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 290
[06-Jul-2025 05:31:20 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 295
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 23
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 25
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 27
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 29
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 31
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 36
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 52
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 58
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 68
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 74
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 81
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 89
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 106
[06-Jul-2025 05:31:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/native-wp-cleaner/native-wp-cleaner.php on line 111
